id,Group,block,days_after_planting,genotype,developmental_stage,leaf,zone,Acylcarnitine_12:1,CE_20:3,CE_20:3,CE_20:3,CE_20:4,Cer_NS_d18:2_18:1,Cer_NS_d18:2_20:1,Ceramide_C17,Ceramide_C17,Ceramide_C17 ,Cholesterol,Cholesterol_d7,CUDA,DG_12:0_12:0_0:0,DG_12:0_12:0_0:0,DG_18:1_2:0_0:0,DG_18:1_2:0_0:0,DG_34:1,DG_34:1,DG_36:2,DG_36:3,DG_36:4,DG_16:0_18:2,DG_16:0_18:3,DG_16:1_18:3,DG_18:0_18:3,DG_18:2_18:2,DG_18:2_18:3,DG_18:3_18:3,DGDG_16:0_16:0,DGDG_16:0_16:1,DGDG_16:0_18:0,DGDG_16:0_18:1,DGDG_16:0_18:2,DGDG_16:1_18:3,DGDG_16:1_18:3,DGDG_16:2_18:3,DGDG_18:0_18:1,DGDG_18:0_18:2,DGDG_18:0_18:3,DGDG_18:1_18:3,DGDG_18:3_18:3,DGDG_20:0_18:2,DGDG_20:1_18:4,DGDG_18:3_20:3,DGDG_22:0_18:2,DGDG_24:0_18:2,DGDG_24:0_18:2,DGDG_24:0_18:3,DGDG_26:0_18:2,DGDG_26:0_18:2,GlcCer_d40:1,GlcCer_NS_d18:2_16:1,GlcCer_NS_d18:2_18:1,GlcCer_NS_d18:2_18:1,GlcCer_NS_d18:2_20:1,GlcCer_NS_d18:2_22:1,GlcCer_NS_d18:2_22:1,GlcCer_NS_d18:2_24:1,LPC_16:0,LPC_17:0,LPC_18:0,LPC_18:1,LPC_18:2,LPC_18:3,LPC_20:1,LPE_17:1,LPC_16:1,LPC_18:1,LPC_18:2,LPE_18:2,LPE_18:3,MGDG_16:0_18:1,MGDG_16:0_18:2,MGDG_16:0_18:3,MGDG_16:1_18:3,MGDG_16:1_18:3,MGDG_16:3_18:3,MGDG_18:0_18:3,MGDG_18:1_18:2,MGDG_18:2_18:2,MGDG_18:2_18:4,MGDG_18:3_18:3,MGDG_18:3_18:3,MGDG_18:3_18:3,MGDG_18:3_18:3,MGDG_18:3_18:3,MGDG_18:3_18:3,MGDG_18:3_18:3,MGDG_18:3_18:3,MGDG_18:3_18:4,MGDG_16:0_22:1,MGDG_20:2_18:3,MGDG_18:3_20:3,PC_30:0,PC_32:0,PC_32:1 ,PC_32:2 ,PC_34:0 ,PC_34:1 ,PC_34:2 ,PC_34:2,PC_34:2,PC_34:4,PC_36:1 ,PC_36:2 ,PC_36:2 ,PC_36:3 A ,PC_36:4_B ,PC_36:4_C,PC_36:4_C ,PC_36:5_B,PC_38:2 ,PC_38:3 ,PC_38:4_A ,PC_38:5_A,PC_40:6_B,PC_16:0_18:2,PC_16:0_18:3,PC_18:2_18:3,PC_18:2_18:3,PC_18:2_18:4,PC_18:3_18:3,PC_18:3_18:3,PC_18:2_20:2,PC_20:2_18:3,PC_16:1_26:2,PC_22:1_22:1,PE_17:0_17:0,PE_34:2,PE_16:0_18:1,PE_16:1_18:3,PE_18:0_18:2,PE_18:0_18:3,PE_18:2_18:3,PE_18:3_18:3,PE_22:3_16:4,PE_26:0_16:3,PE_22:1_22:1,PG_16:0_16:0,PG_16:0_16:1,PG_16:0_18:2,PG_16:0_18:3,PG_16:0_18:4,PG_16:1_18:3,PG_16:1_18:4,PG_18:3_18:3,PG_18:3_18:4,PS_24:0_18:2,SM_d35:1,Sphingosine_d17:1,SQDG_16:0_16:1,SQDG_16:0_18:1,SQDG_16:0_18:3,SQDG_16:1_18:3,SQDG_18:0_18:3,SQDG_18:2_18:3,SQDG_18:3_20:3,SQDG_16:0_16:0,SQDG_18:2_18:2,TG_14:0_14:0_14:0,TG_17:0_17:1_17:0,TG_17:0_17:1_17:0,TG_44:1,TG_46:0,TG_46:1,TG_46:1,TG_46:2,TG_46:2,TG_48:0,TG_48:0,TG_48:1,TG_48:1,TG_48:2,TG_48:2,TG_50:0,TG_50:2,TG_50:4,TG_50:4,TG_50:5,TG_52:0,TG_52:3,TG_52:3,TG_52:4,TG_52:4,TG_52:5,TG_52:5,TG_52:6,TG_54:3,TG_54:3,TG_54:4,TG_54:4,TG_54:5,TG_54:5,TG_54:5,TG_54:6,TG_54:6,TG_54:6,TG_54:6,TG_54:6,TG_54:6,TG_54:8,TG_54:8,TG_56:3,TG_56:5,TG_56:6,TG_56:7,TG_58:6,TG_12:0_16:0_18:3,TG_12:1_12:1_22:1,TG_14:0_16:0_18:3,TG_12:0_18:2_18:3,TG_12:0_18:3_18:3,TG_16:0_16:0_18:1,TG_16:0_16:0_18:2,TG_16:0_16:0_18:2,TG_16:0_16:0_18:2,TG_12:1_16:0_22:2,TG_16:0_16:0_18:3,TG_16:0_16:0_18:3,TG_16:0_18:0_18:1,TG_16:0_18:1_18:1,TG_16:0_18:1_18:1,TG_16:0_18:1_18:1,TG_16:0_18:1_18:2,TG_16:0_18:1_18:2,TG_16:0_18:2_18:2,TG_16:0_18:2_18:2,TG_16:0_18:2_18:2,TG_16:0_16:0_20:5,TG_16:0_18:2_18:3,TG_16:0_18:2_18:3,TG_16:0_18:3_18:3,TG_16:0_18:3_18:3,TG_16:0_18:3_18:3,TG_18:0_18:0_18:1,TG_18:0_18:1_18:1,TG_18:1_18:1_18:2,TG_18:1_18:1_18:2,TG_18:1_18:2_18:2,TG_18:2_18:2_18:3,TG_18:2_18:2_18:3,TG_18:2_18:2_18:3,TG_14:2_20:3_20:3,TG_18:2_18:3_18:3,TG_18:2_18:3_18:3,TG_18:3_18:3_18:3,TG_18:3_18:3_18:3,TG_18:2_18:2_20:0,TG_18:2_18:3_20:0,TG_18:2_18:2_20:2,TG_18:2_18:3_20:2,TG_18:3_18:3_20:2,TG_14:3_22:6_22:6
D11P112T,1,1,58,PT,13,12,tip,2158,9596,29132,1217,7668,8094,9435,0,0,0,7908,0,141691,4095,0,0,0,0,0,0,0,4322,42174,71432,9272,4025,23354,118446,157872,166740,4824,8128,23087,257012,17937,14011,4963,7616,15221,863586,124219,1448523,0,9835,59504,395,16304,2909,2563,0,2506,0,24888,41606,87946,126544,38648,43061,23993,42671,837,1453,9011,48057,34312,0,0,941,5869,25385,0,0,4499,49453,894812,9010,23846,26237,20193,8642,351296,7529,2574,17974,13858,66179,51477,19374,1354230,14312,21958,28987,12184,42273,0,36512,1095,5515,2412,380697,1240780,48497,2908,19869,12814,41105,68933,251102,15155,14285,14281,3695,2418,4998,3620,22687,4086,9159,1429655,920672,18186,27322,312997,122504,3530,17177,14108,6271,950,154330,19504,64318,2140,7447,21754,6553,2057,1549,2772,138705,191865,239850,527047,874897,2978,84,6511,0,0,0,0,7015,6352,924154,715,72115,250741,1103,486965,29523,0,694,0,0,1875,0,947,0,1524,445,1753,471,1928,0,758,0,2312,855,1664,0,422,1018,698,0,1185,378,0,0,0,724,952,0,0,5336,29751,6510,16323,12347,55408,134583,0,0,344249,277,0,3776,0,15177,0,59239,678,0,0,7207,0,11866,4382,6410,7899,10396,1800,0,6858,3434,19316,15032,10622,98519,54304,15079,131134,179570,4544,4614,187865,0,940,8082,2033,3821,13555,262437,415136,66209,49196,461506,33277,355176,663,1646,3811,900,0,3343
D11C16B,2,1,58,CML312,13,6,base,3490,9468,27240,916,0,7246,8544,0,0,0,1290,0,131733,4143,0,0,0,0,0,0,1762,0,23923,54576,8335,4527,7361,53904,51937,110200,2190,4444,10251,271339,9549,12348,2381,5821,18204,613924,55441,1443486,0,1640,34837,2472,20351,2016,5454,2488,4156,0,21974,27416,85151,100518,34173,33126,14616,50946,1007,5059,39393,618482,1065912,811,0,912,20647,302855,1337,917,4603,49100,718321,3237,14206,0,0,15533,119366,27546,1844,11651,12362,142937,51448,11981,1102774,9205,19078,24212,5874,18578,2120,15584,4846,7515,3064,301436,1012189,68944,8052,21724,13653,68651,93303,145678,0,0,14227,6572,2132,3578,3097,10134,2104,9539,1309357,1315028,20443,108967,1177496,12630,1782,18189,15149,3994,695,53336,7161,20083,2509,5047,12231,7326,6652,922,0,108819,134971,78655,427822,849381,1513,5544,5155,0,0,0,0,5189,4509,138725,5159,71223,106702,3020,391643,10287,1040,0,0,0,6450,712,3883,869,5239,698,4026,1220,5128,0,3583,2550,9684,384,933,915,596,0,1062,0,0,0,1318,0,0,1152,0,0,2845,0,24040,2936,6473,727,21870,48312,0,0,378916,674,3549,702,2842,33718,2197,82144,5226,0,0,19470,807,26056,9509,4624,25559,31360,4346,0,13832,6882,16700,10911,6293,58441,34530,15317,137600,181839,14076,211688,392142,638,2470,8189,2756,1090,9072,157836,256075,63860,48494,489716,61282,651920,587,1038,3653,762,4880,9438
D11B212C,3,1,58,B73,10,12,center,66537,1073,8410,4557,0,5907,6116,0,0,0,1274,0,92269,4318,0,0,0,0,0,2956,2472,10678,44148,27486,5311,2489,35121,69321,17281,169649,2532,6729,9221,266834,9451,5997,2878,11170,29930,502650,91260,1204012,2084,5045,25053,2090,23288,3075,2723,2795,2801,0,15871,29923,76980,106302,33234,33133,11986,40910,0,4897,51795,1197484,491937,0,0,2661,23158,916730,3846,0,3981,80025,647044,1438,18377,13812,36398,18039,409462,26241,2161,11711,10554,118652,23189,9543,868263,3561,7883,24633,13450,24732,0,35588,5780,12439,2610,182912,667518,72411,1785,14923,19091,134894,283801,302592,12259,8273,0,3910,5239,15535,4339,10600,1156,16943,1109815,1057209,48165,21606,150552,50648,39020,26091,10178,9420,0,42883,52040,19455,930,1364,4165,0,1224,316,0,103793,72718,203571,540120,686866,509,7980,5267,2378,0,0,0,5801,7095,954154,2580,74467,231480,373,591026,56110,539,223,0,0,1964,215,1456,419,1651,281,1522,0,2219,279,1579,1820,373,623,1663,2237,1494,3347,2500,13326,84160,2807,2455,0,0,3078,4218,1411,0,13028,8506,55367,10580,2993,411904,170946,7656,5383,246642,0,1461,2961,0,4849,0,35625,1963,3133,2648,0,2585,12164,14191,1729,4689,2438,1719,0,6434,7603,9296,22068,21548,56105,142218,18133,128250,74286,3772,42141,46179,0,1598,2907,22243,68663,46289,735604,495419,42994,39208,268902,9218,49995,1985,4567,7619,5625,1411,10924
D11C110C,2,1,58,CML312,13,10,center,29645,1586,27786,13241,0,5453,7041,0,0,0,1094,0,114343,5244,0,1014,0,0,0,0,2607,1542,23340,45212,8594,1403,6327,65909,45430,128508,897,6503,5045,190211,9400,13650,2347,5307,16950,565862,55171,1436712,0,5734,37250,1563,11541,5583,2861,1629,1905,0,12839,25307,64656,77596,28438,27015,12545,52360,765,4885,57104,802649,1085275,0,0,1087,32849,472692,2011,3323,2600,31382,546375,4041,15506,0,14960,15060,99719,4283,1994,10140,11080,64662,22749,6459,1334774,2296,13345,28435,7875,26980,2920,36113,6584,7516,0,297367,400404,91756,14537,26975,23935,130339,133636,179284,7382,12240,4077,17417,4254,4808,4855,8352,3130,12938,1100828,1409005,27490,94761,1246216,13161,5403,29880,16868,5717,815,36096,5193,14548,2029,4372,9877,5862,1618,1502,753,90982,98252,103235,443873,727471,2612,12280,5992,0,0,0,0,1368,4644,875349,4656,67531,81829,594,433714,13935,1275,412,0,0,6214,1040,5291,1003,3435,0,4576,1525,9417,0,5130,5094,4290,445,0,1071,4162,1523,2066,3497,18183,1168,19379,0,0,3439,0,0,0,3236,13548,8264,6051,3708,58839,13754,0,3819,489508,710,0,4357,0,33102,0,87043,3848,0,2583,5317,1414,19638,17123,3228,18315,10456,5046,757,9949,10867,11027,13167,7679,34123,52661,21173,162947,92017,17224,307479,288642,878,3884,3939,4726,7900,16478,309539,158906,49654,68448,338005,61582,546040,1525,3176,3426,2101,3556,12260
D11P110C,1,1,58,PT,13,10,center,2471,6597,46148,41719,0,7173,6355,0,0,0,8278,0,121406,6142,0,655,0,0,0,0,2730,3644,31240,75039,6119,3796,14082,97005,75153,158797,3769,6413,5341,247925,21315,21040,5178,6100,13360,811681,121680,1568427,807,10185,60443,299,10644,14691,3149,2235,2107,0,25811,26900,58254,123000,46159,49067,27363,30194,0,1001,5466,56509,58122,0,505,0,872,26129,1323,0,2970,45670,1101249,12089,7530,31296,15040,5759,286086,13634,0,24300,14836,92818,72726,25465,1269618,17103,33232,24759,12385,46731,0,43277,6710,6909,2731,356093,1490671,60716,4754,24940,15376,28783,65105,226925,14905,13882,4824,4895,1811,3259,4987,20423,2762,11036,1488737,1348974,56019,48608,759282,125557,2823,22888,20908,7448,0,227587,21604,66416,3219,9940,52824,20840,9074,8495,4997,150843,227146,211590,506908,1078784,2620,2671,7689,0,0,0,0,5302,4387,1129421,5066,69943,306212,1272,382650,26052,0,0,0,0,6559,773,3578,670,2322,604,5426,967,4890,493,3004,5851,2888,0,0,916,5487,1250,4129,3676,23061,0,34763,0,0,5024,0,0,0,1207,1759,0,0,0,27630,19056,0,10195,134930,0,420,1124,0,19059,0,73630,1471,0,6074,1302,1292,7617,9585,8646,10308,0,3094,1348,3869,6910,2980,8901,5750,12048,37433,11900,85007,17516,9616,154428,156307,744,1833,1501,4508,6141,6385,100636,65351,12097,21909,81472,17284,5231,788,1209,1616,987,735,2528
D11C18B,2,1,58,CML312,13,8,base,3815,381,22370,19312,0,8048,8493,0,0,0,0,0,194623,11978,0,0,0,0,0,0,0,1603,15129,43072,4678,3174,2934,39887,45780,102116,2082,4299,4400,198137,395,8833,1401,6799,5553,595887,45824,2308408,2000,3012,22831,1548,5964,5514,3622,2228,3292,0,13435,14779,72092,20364,19398,19160,10152,32028,652,3206,20613,185293,346443,0,0,569,14442,128411,1556,0,4426,35525,518383,3032,12096,0,23835,4493,87898,5058,1096,8676,14507,104235,25167,2962,1914935,2156,12722,17708,5048,15024,1881,11373,3594,4282,2067,186715,1996712,107412,19368,10370,17541,70228,29204,93184,0,0,2483,22809,4638,0,4024,7961,1358,8481,1807561,1451175,86627,171946,1279041,59110,4598,14764,10793,2255,1204,46604,6906,39533,2683,5530,10529,7406,2886,4635,1133,73847,81332,72102,376663,679711,1939,4569,3821,0,0,0,0,5586,0,807142,3359,59022,42909,2292,272668,9063,3110,0,0,0,11704,2668,9720,1885,10458,1527,11071,3487,24697,2629,5387,7655,2814,946,1501,1143,10593,1975,6273,5822,21929,13049,68106,8806,0,4786,1068,486,0,2590,3202,5094,2826,672,24559,6284,0,26845,232823,0,379,3611,0,17059,0,51237,5821,1366,2599,7171,3313,8800,20665,4564,17375,5629,6692,0,6175,11895,7826,10362,6065,10256,29539,17351,93871,8585,19949,288140,140651,1480,5325,0,4794,6401,12815,194101,35623,13431,41390,96834,47401,194045,1272,2233,2719,1678,1402,9164
D11C26T,2,1,58,CML312,10,6,tip,1947,0,20072,18634,0,10542,4657,0,0,0,942,177,145770,9954,0,0,0,0,0,0,0,2346,12056,38742,3263,4774,10101,45090,22808,158027,660,2147,2975,254637,6519,9089,1149,7472,23831,883740,39675,1830784,1851,2390,16707,2918,5080,6388,5807,5161,3878,2050,21558,13422,115004,117875,34019,23912,17763,41647,1057,4504,4294,46215,35943,0,0,0,7076,69536,2722,0,6678,71130,1131808,6117,20318,0,80108,18942,238232,24600,1675,11675,12137,36604,11733,4560,1144050,9298,19224,26923,7865,22694,0,28412,8107,18464,3720,467274,1342774,152659,8272,18848,46138,132520,310995,258168,0,19923,20133,23430,9217,9920,5441,8504,5703,6064,1585712,1570972,126682,132296,834865,58287,17778,29300,12598,4790,1749,388714,40911,33882,6446,34984,86141,30143,11648,19913,4849,91818,145131,93214,428460,781664,3398,1585,3312,1065,0,0,0,4262,4396,906114,2396,56559,56731,1536,222776,9436,2034,0,348,0,8049,814,5523,0,3963,1079,7116,1522,8393,1015,5200,9362,1889,0,1928,1822,11592,2718,10302,6485,34913,13166,83910,4859,0,6769,2364,763,0,6018,9918,5118,5505,0,28505,32431,0,19130,138580,1286,381,7662,0,15612,0,67739,2862,1693,2630,3275,3564,13350,24156,3071,27295,3818,5056,0,4980,15033,13884,18779,7904,10768,47896,17323,113247,4546,11996,180382,68778,1487,5736,2999,11809,10938,8907,153292,26514,3444,24872,38740,18893,62051,2632,5778,4438,1830,1714,0
D11B18T,3,1,58,B73,11,8,tip,13128,0,21167,17912,0,6258,3854,0,0,0,1315,0,99489,4830,0,1235,0,0,0,2370,1676,6513,26008,39118,4370,2365,26709,90722,43222,233038,2955,10905,14793,330988,8598,17859,2285,5898,12893,651246,88404,1327862,2472,8515,41929,2556,20973,8608,6233,6266,3570,0,15707,24059,65934,52399,31574,21815,13603,27143,782,4366,42799,1279368,1028841,0,0,1594,18451,799748,1047,0,3686,85151,598719,4253,17673,17140,13998,7760,299088,35101,1693,14434,12081,123138,74855,5716,140908,9929,13491,20919,11199,21559,0,8576,2346,8575,1917,157367,788068,72265,4525,16609,14039,149819,72355,183253,0,0,7445,6721,6316,6033,1933,10667,1269,2322,1325726,1273034,20822,29517,465093,52339,14317,24301,10934,6873,1034,31268,26032,24180,2750,0,6127,0,0,319,0,130577,140062,362389,333870,748397,2467,7331,1145,1550,0,0,0,5995,6990,1070988,4688,87076,336759,1038,734943,54980,1259,0,369,0,5392,729,3080,424,2101,1035,4771,851,4691,762,2721,8388,887,862,1252,1610,9104,1815,9488,13396,77398,19456,172586,4960,0,4072,1987,1225,0,4469,0,17939,707,2057,147836,13447,0,41841,430571,696,598,1757,0,19243,0,84578,1369,2067,1377,0,2132,4699,13543,2918,9084,1472,2523,1010,0,7733,3495,13272,13718,10685,101675,24407,202498,0,10047,142402,78524,924,2372,0,11241,28085,27277,497853,59183,10714,56419,106991,20392,69196,1964,2464,4290,3425,0,12508
D11B24C,3,1,58,B73,10,4,center,2754,393,25059,18972,0,9663,10349,0,0,0,729,0,121328,7110,0,0,0,0,0,4257,2030,2181,25591,48745,3967,10482,10770,85308,99659,150356,1588,9379,7752,302424,5528,12037,1918,4046,25200,703442,52944,1469872,2989,1053,25016,2239,17488,9538,6705,5540,5882,0,15847,26425,100830,89637,26631,26479,12313,26278,514,8625,6790,302064,420294,0,0,1133,4772,201708,8693,6606,1992,38275,582564,0,8388,0,56837,12978,117022,22452,0,11775,11477,228672,33354,7031,1402444,2309,9973,15933,2600,9866,0,11613,1365,3445,2849,41177,1131327,39067,13665,11944,8823,105899,44195,45586,0,0,0,7901,4484,4961,3880,6925,1057,965,1259888,689198,41730,43735,455572,36413,4256,9904,0,1768,2500,116645,15776,25486,4420,19213,19852,10485,5949,3423,902,59346,58913,118480,153643,395286,0,0,2669,0,9871,721,0,5142,3714,497117,5303,74943,137008,3498,427133,19867,3146,0,395,0,13775,2256,8479,1445,7610,2265,10510,2635,24910,1938,4643,11778,2692,1071,1808,3404,12648,2848,7743,10984,72465,32663,277321,20594,0,5196,3032,2025,0,14077,9004,13022,18074,0,99625,140846,0,125988,1281258,1478,0,12392,1595,21392,0,88652,5324,0,2811,3511,0,14481,24044,2927,26414,5047,5666,0,0,15699,17491,20720,11736,8431,79374,38831,308071,9785,29915,588756,188877,2728,5430,2505,20159,36886,37153,716705,82076,21905,153260,252176,150537,1064366,2544,8387,8199,4114,2786,0
D11B16T,3,1,58,B73,11,6,tip,5461,697,29487,22418,0,9105,10763,0,0,0,0,0,124119,6973,0,0,0,0,0,4627,0,1422,28882,38947,4131,0,15679,102470,64916,188342,793,8745,8769,273307,5394,13645,1919,4021,10964,649556,66572,1623690,2261,5287,26615,3651,16100,8952,6731,1910,5233,0,17672,33825,91727,102593,34576,30097,20846,25234,0,5430,34593,1209467,934370,0,0,2839,15125,644577,228,0,2715,50484,519564,2569,9307,0,32770,11490,180794,24762,1745,11894,12945,216256,15662,8880,1394915,7078,9240,21703,6644,10909,4153,8105,1985,659,2205,69290,1515773,16264,12649,10883,8885,87095,48261,64264,0,0,6608,8128,4016,3007,4262,7462,892,8772,1566826,911698,48131,35785,354370,33629,2063,12226,8835,2211,1693,42560,7188,40736,2689,4413,7400,0,1736,545,0,105136,78422,273914,270209,490123,0,1432,2807,1353,0,0,0,6889,4828,1109831,3540,86870,210606,3377,642041,36553,1634,0,0,0,7359,1118,2417,745,3630,1376,7226,1441,10114,1017,4799,11000,1944,0,1434,1812,14802,2057,10980,7180,40615,19908,148455,9470,0,6573,1743,1360,0,2803,3568,10040,3573,2783,75175,4867,2670,36442,369545,0,425,2782,0,34426,0,96247,2457,0,2922,1540,2059,4157,17103,2836,15095,1682,4266,0,1248,11454,5864,12956,9535,7019,72104,24887,194710,7664,13754,221419,66555,1168,1930,0,12064,19403,17823,341407,23589,5825,52275,61778,29971,5396,1638,3049,3053,2228,0,0
